State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
AR,Cleveland County,731,"2,584","1,445",975,12.7,45.1,25.2,17
AR,Columbia County,"2,253","6,009","3,411","3,190",15.2,40.4,22.9,21.5
AR,Conway County,"2,142","6,342","3,715","2,297",14.8,43.8,25.6,15.8
AR,Craighead County,"7,791","22,137","18,997","17,669",11.7,33.2,28.5,26.5
AR,Crawford County,"5,894","16,347","13,392","6,048",14.1,39.2,32.1,14.5
AR,Crittenden County,"5,790","11,109","8,943","5,262",18.6,35.7,28.8,16.9
AR,Cross County,"2,267","5,037","2,659","1,589",19.6,43.6,23,13.8
AR,Dallas County,899,"2,258","1,422",752,16.9,42.4,26.7,14.1
AR,Desha County,"1,806","3,276","1,891","1,008",22.6,41,23.7,12.6
AR,Drew County,"1,956","4,440","3,101","2,150",16.8,38.1,26.6,18.5
AR,Faulkner County,"6,469","22,489","22,895","21,891",8.8,30.5,31,29.7
AR,Franklin County,"2,317","4,854","3,585","1,371",19.1,40,29.6,11.3
AR,Fulton County,"1,371","3,478","2,907","1,072",15.5,39.4,32.9,12.1
AR,Garland County,"8,331","21,798","26,270","14,225",11.8,30.9,37.2,20.1
AR,Grant County,"1,236","5,291","3,566","2,367",9.9,42.5,28.6,19
AR,Greene County,"3,939","12,491","8,247","4,747",13.4,42.5,28,16.1
AR,Hempstead County,"2,873","5,636","4,045","1,887",19.9,39,28,13.1
AR,Hot Spring County,"3,427","9,836","7,212","3,282",14.4,41.4,30.4,13.8
AR,Howard County,"1,668","3,126","2,777","1,367",18.7,35,31.1,15.3
AR,Independence County,"3,736","9,431","7,408","4,522",14.9,37.6,29.5,18
AR,Izard County,"1,740","3,842","3,261","1,307",17.1,37.9,32.1,12.9
AR,Jackson County,"2,811","5,377","3,116","1,150",22.6,43.2,25,9.2
AR,Jefferson County,"7,010","18,257","14,448","8,023",14.7,38.2,30.3,16.8
AR,Johnson County,"3,506","7,423","3,507","2,697",20.5,43.3,20.5,15.7
AR,Lafayette County,983,"2,126","1,217",762,19.3,41.8,23.9,15
AR,Lawrence County,"1,823","4,519","3,283","1,761",16,39.7,28.8,15.5
AR,Lee County,"2,066","2,709","1,539",579,30,39.3,22.3,8.4
AR,Lincoln County,"2,026","5,358","2,069",815,19.7,52.2,20.1,7.9
AR,Little River County,"1,333","3,618","3,084",921,14.9,40.4,34.4,10.3
AR,Logan County,"2,474","6,765","4,160","1,835",16.2,44.4,27.3,12
AR,Lonoke County,"5,399","16,061","15,978","9,433",11.5,34.3,34.1,20.1
AR,Madison County,"2,222","5,005","2,426","1,261",20.4,45.9,22.2,11.6
AR,Marion County,"1,731","4,695","4,072","2,004",13.8,37.6,32.6,16
AR,Miller County,"4,430","10,919","9,664","4,681",14.9,36.8,32.5,15.8
AR,Mississippi County,"4,929","10,936","8,643","3,395",17.7,39.2,31,12.2
AR,Monroe County,"1,160","2,220","1,329",484,22.3,42.7,25.6,9.3
