State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
MT,Garfield County,45,311,266,132,6,41.2,35.3,17.5
MT,Glacier County,889,"3,216","2,380","1,461",11.2,40.5,30,18.4
MT,Golden Valley County,39,261,156,118,6.8,45.5,27.2,20.6
MT,Granite County,248,787,769,600,10.3,32.7,32,25
MT,Hill County,"1,017","3,101","3,702","2,429",9.9,30.3,36.1,23.7
MT,Jefferson County,437,"2,382","2,843","2,773",5.2,28.2,33.7,32.9
MT,Judith Basin County,57,560,482,434,3.7,36.5,31.4,28.3
MT,Lake County,"1,835","5,882","7,173","5,231",9.1,29.2,35.6,26
MT,Lewis and Clark County,"2,214","11,513","15,315","17,443",4.8,24.8,32.9,37.5
MT,Liberty County,419,400,567,270,25.3,24.2,34.2,16.3
MT,Lincoln County,"1,767","5,120","4,722","2,970",12.1,35.1,32.4,20.4
MT,McCone County,75,519,425,214,6.1,42.1,34.5,17.4
MT,Madison County,382,"1,914","2,040","1,889",6.1,30.7,32.8,30.3
MT,Meagher County,108,585,424,273,7.8,42.1,30.5,19.6
MT,Mineral County,419,"1,192","1,008",470,13.6,38.6,32.6,15.2
MT,Missoula County,"3,733","16,127","23,516","32,154",4.9,21.4,31.1,42.6
MT,Musselshell County,326,"1,466","1,138",516,9.5,42.5,33,15
MT,Park County,517,"3,816","3,598","4,097",4.3,31.7,29.9,34.1
MT,Petroleum County,7,176,92,93,1.9,47.8,25,25.3
MT,Phillips County,289,996,"1,048",516,10.1,35,36.8,18.1
MT,Pondera County,403,"1,416","1,386",908,9.8,34.4,33.7,22.1
MT,Powder River County,60,374,478,314,4.9,30.5,39,25.6
MT,Powell County,583,"2,029","1,716",962,11,38.4,32.4,18.2
MT,Prairie County,41,414,310,197,4.3,43,32.2,20.5
MT,Ravalli County,"2,749","9,593","10,015","8,042",9,31.6,32.9,26.5
MT,Richland County,536,"2,871","2,659","1,485",7.1,38,35.2,19.7
MT,Roosevelt County,"1,077","2,252","2,118",996,16.7,35,32.9,15.5
MT,Rosebud County,727,"1,920","2,102","1,097",12.4,32.8,36,18.8
MT,Sanders County,947,"3,669","2,565","1,506",10.9,42.2,29.5,17.3
MT,Sheridan County,211,836,996,538,8.2,32.4,38.6,20.8
MT,Silver Bow County,"1,989","7,755","7,471","6,026",8.6,33.4,32.1,25.9
MT,Stillwater County,314,"2,515","2,208","1,677",4.7,37.5,32.9,25
MT,Sweet Grass County,160,975,846,676,6,36.7,31.8,25.4
MT,Teton County,291,"1,356","1,540",990,7,32.5,36.9,23.7
MT,Toole County,563,"1,313","1,207",537,15.6,36.3,33.3,14.8
MT,Treasure County,37,205,201,133,6.4,35.6,34.9,23.1
MT,Valley County,313,"2,063","1,828","1,121",5.9,38.7,34.3,21.1
MT,Wheatland County,344,453,340,247,24.9,32.7,24.6,17.8
MT,Wibaux County,128,248,251,184,15.8,30.6,30.9,22.7
MT,Yellowstone County,"7,505","32,360","34,409","32,157",7.1,30.4,32.3,30.2
MT,Yellowstone National Park,,,,,,,,
NE,Nebraska,"112,366","329,232","414,792","377,452",9.1,26.7,33.6,30.6
NE,Adams County,"2,047","6,048","7,504","4,798",10,29.7,36.8,23.5
NE,Antelope County,411,"1,463","1,771",835,9.2,32.7,39.5,18.6
NE,Arthur County,13,79,93,79,4.9,29.9,35.2,29.9
NE,Banner County,22,169,236,90,4.3,32.7,45.6,17.4
NE,Blaine County,4,133,133,86,1.1,37.4,37.4,24.2
NE,Boone County,229,"1,328","1,417",735,6.2,35.8,38.2,19.8
NE,Box Butte County,622,"2,601","2,984","1,307",8.3,34.6,39.7,17.4
NE,Boyd County,88,586,536,306,5.8,38.7,35.4,20.2
NE,Brown County,177,935,772,418,7.7,40.6,33.5,18.2
NE,Buffalo County,"1,841","7,566","10,392","10,018",6.2,25.4,34.9,33.6
NE,Burt County,427,"1,733","1,621",892,9.1,37.1,34.7,19.1
NE,Butler County,443,"2,158","1,931","1,040",8,38.7,34.7,18.7
NE,Cass County,834,"5,423","6,475","4,657",4.8,31.2,37.2,26.8
NE,Cedar County,381,"2,169","2,168","1,067",6.6,37.5,37.5,18.4
NE,Chase County,295,686,"1,192",524,10.9,25.4,44.2,19.4
NE,Cherry County,324,"1,394","1,593",831,7.8,33.7,38.5,20.1
NE,Cheyenne County,350,"1,892","2,856","1,816",5.1,27.4,41.3,26.3
NE,Clay County,425,"1,474","1,633",766,9.9,34.3,38,17.8
NE,Colfax County,"1,870","2,044","1,651",939,28.8,31.4,25.4,14.4
NE,Cuming County,790,"2,166","1,858","1,297",12.9,35.4,30.4,21.2
NE,Custer County,566,"2,436","2,910","1,637",7.5,32.3,38.5,21.7
NE,Dakota County,"3,340","4,405","3,257","1,586",26.5,35,25.9,12.6
NE,Dawes County,262,"1,426","1,719","1,997",4.8,26.4,31.8,37
NE,Dawson County,"3,603","4,979","4,278","2,415",23.6,32.6,28,15.8
NE,Deuel County,135,450,533,247,9.9,33,39,18.1
NE,Dixon County,449,"1,463","1,241",732,11.6,37.7,31.9,18.8
NE,Dodge County,"2,651","8,801","8,464","4,677",10.8,35.8,34.4,19
NE,Douglas County,"36,680","76,956","107,819","135,382",10.3,21.6,30.2,37.9
NE,Dundy County,195,347,533,288,14.3,25.5,39.1,21.1
NE,Fillmore County,322,"1,532","1,422",777,7.9,37.8,35.1,19.2
NE,Franklin County,178,766,851,448,7.9,34.2,37.9,20
NE,Frontier County,69,594,777,349,3.9,33.2,43.4,19.5
NE,Furnas County,372,"1,163","1,241",619,11,34.3,36.6,18.2
NE,Gage County,"1,557","5,215","5,464","3,123",10.1,34,35.6,20.3
NE,Garden County,79,450,615,365,5.2,29.8,40.8,24.2
NE,Garfield County,55,485,594,275,3.9,34.4,42.2,19.5
NE,Gosper County,85,504,538,357,5.7,34,36.3,24.1
NE,Grant County,14,182,176,111,2.9,37.7,36.4,23
NE,Greeley County,117,616,670,294,6.9,36.3,39.5,17.3
NE,Hall County,"6,301","12,203","12,906","7,751",16.1,31.2,33,19.8
NE,Hamilton County,395,"1,968","2,259","1,596",6.4,31.7,36.3,25.7
NE,Harlan County,225,818,988,467,9,32.7,39.6,18.7
NE,Hayes County,81,171,326,120,11.6,24.5,46.7,17.2
NE,Hitchcock County,147,782,765,358,7.2,38.1,37.3,17.4
NE,Holt County,566,"2,471","2,622","1,500",7.9,34.5,36.6,21
NE,Hooker County,29,174,199,138,5.4,32.2,36.9,25.6
NE,Howard County,343,"1,748","1,444",890,7.8,39.5,32.6,20.1
NE,Jefferson County,505,"2,155","1,802",770,9.7,41.2,34.4,14.7
NE,Johnson County,461,"1,557","1,079",648,12.3,41.6,28.8,17.3
NE,Kearney County,269,"1,546","1,668","1,002",6,34.5,37.2,22.3
NE,Keith County,506,"2,034","2,143","1,324",8.4,33.9,35.7,22
NE,Keya Paha County,38,191,194,110,7.1,35.8,36.4,20.6
NE,Kimball County,269,939,948,456,10.3,35.9,36.3,17.5
NE,Knox County,497,"2,031","2,142","1,229",8.4,34.4,36.3,20.8
NE,Lancaster County,"12,594","42,128","62,860","71,639",6.7,22.3,33.2,37.9
NE,Lincoln County,"1,684","7,053","10,261","5,418",6.9,28.9,42,22.2
NE,Logan County,45,166,253,136,7.5,27.7,42.2,22.7
NE,Loup County,7,160,142,92,1.7,39.9,35.4,22.9
NE,McPherson County,32,71,138,81,9.9,22,42.9,25.2
NE,Madison County,"2,621","6,916","8,697","4,669",11.4,30.2,38,20.4
NE,Merrick County,381,"1,886","2,246",963,7,34.4,41,17.6
NE,Morrill County,441,"1,105","1,211",643,13,32.5,35.6,18.9
NE,Nance County,233,925,898,461,9.3,36.8,35.7,18.3
NE,Nemaha County,281,"1,528","1,485","1,278",6.1,33.4,32.5,28
NE,Nuckolls County,218,"1,314","1,029",606,6.9,41.5,32.5,19.1
NE,Otoe County,952,"4,136","3,412","2,319",8.8,38.2,31.5,21.4
NE,Pawnee County,196,858,613,316,9.9,43.3,30.9,15.9
NE,Perkins County,227,586,794,478,10.9,28.1,38.1,22.9
NE,Phelps County,413,"2,007","2,222","1,632",6.6,32,35.4,26
NE,Pierce County,279,"1,754","1,735","1,094",5.7,36.1,35.7,22.5
NE,Platte County,"2,413","6,797","7,643","4,616",11.2,31.7,35.6,21.5
NE,Polk County,238,"1,183","1,454",758,6.6,32.6,40,20.9
NE,Red Willow County,434,"2,492","3,049","1,377",5.9,33.9,41.5,18.7
NE,Richardson County,496,"2,176","2,048","1,138",8.5,37.1,35,19.4
NE,Rock County,64,398,357,191,6.3,39.4,35.3,18.9
NE,Saline County,"1,373","3,024","3,205","1,181",15.6,34.4,36.5,13.4
NE,Sarpy County,"5,360","23,740","38,210","43,907",4.8,21.3,34.4,39.5
NE,Saunders County,986,"4,319","5,138","3,756",6.9,30.4,36.2,26.5
NE,Scotts Bluff County,"3,120","6,959","8,901","5,369",12.8,28.6,36.6,22.1
NE,Seward County,756,"2,996","4,035","3,037",7,27.7,37.3,28.1
NE,Sheridan County,348,"1,202","1,235",966,9.3,32,32.9,25.8
NE,Sherman County,164,843,802,404,7.4,38.1,36.2,18.3
NE,Sioux County,67,294,306,242,7.4,32.3,33.7,26.6
NE,Stanton County,323,"1,363","1,644",713,8,33.7,40.7,17.6
NE,Thayer County,296,"1,354","1,292",766,8,36.5,34.8,20.7
NE,Thomas County,28,120,178,133,6.1,26.1,38.8,29
NE,Thurston County,519,"1,240","1,458",613,13.6,32.4,38.1,16
NE,Valley County,222,"1,185","1,030",622,7.3,38.7,33.7,20.3
NE,Washington County,533,"4,020","4,950","4,227",3.9,29.3,36.1,30.8
NE,Wayne County,264,"1,396","1,979","1,742",4.9,25.9,36.8,32.4
NE,Webster County,203,907,834,573,8.1,36,33.1,22.8
NE,Wheeler County,34,266,226,124,5.2,40.9,34.8,19.1
NE,York County,567,"2,760","3,419","2,633",6,29.4,36.5,28.1
NV,Nevada,"278,818","556,851","666,233","466,121",14.2,28.3,33.9,23.7
NV,Churchill County,"1,731","5,115","6,504","2,990",10.6,31.3,39.8,18.3
NV,Clark County,"210,394","411,807","473,916","332,753",14.7,28.8,33.2,23.3
NV,Douglas County,"2,329","8,949","15,013","9,809",6.5,24.8,41.6,27.2
NV,Elko County,"5,370","9,420","12,448","5,838",16.2,28.5,37.6,17.7
NV,Esmeralda County,79,365,237,137,9.7,44.6,29,16.7
NV,Eureka County,111,543,440,171,8.8,42.9,34.8,13.5
NV,Humboldt County,"1,830","3,793","3,672","1,670",16.7,34.6,33.5,15.2
NV,Lander County,650,"1,528","1,202",517,16.7,39.2,30.8,13.3
NV,Lincoln County,430,"1,203","1,218",792,11.8,33,33.4,21.7
NV,Lyon County,"5,406","11,787","14,633","5,471",14.5,31.6,39.2,14.7
NV,Mineral County,452,"1,140","1,237",461,13.7,34.7,37.6,14
NV,Nye County,"4,926","12,231","12,379","3,826",14.8,36.7,37.1,11.5
NV,Pershing County,983,"1,812","1,639",703,19.1,35.3,31.9,13.7
NV,Storey County,171,"1,015","1,303",739,5.3,31.4,40.4,22.9
NV,Washoe County,"37,879","72,480","103,810","90,880",12.4,23.8,34,29.8
NV,White Pine County,"1,061","2,532","2,405","1,024",15.1,36.1,34.2,14.6
NV,Carson City,"5,016","11,131","14,177","8,340",13,28.8,36.7,21.6
NH,New Hampshire,"67,278","262,891","270,744","338,558",7.2,28,28.8,36
NH,Belknap County,"3,389","13,123","13,964","13,993",7.6,29.5,31.4,31.5
NH,Carroll County,"2,412","10,928","10,791","12,443",6.6,29.9,29.5,34
NH,Cheshire County,"3,720","16,649","15,095","17,139",7.1,31.7,28.7,32.6
NH,Coos County,"2,876","9,839","7,336","4,477",11.7,40.1,29.9,18.3
NH,Grafton County,"4,647","17,447","15,712","24,497",7.5,28,25.2,39.3
NH,Hillsborough County,"23,276","76,015","80,644","103,571",8.2,26.8,28.4,36.5
NH,Merrimack County,"7,010","29,204","31,512","36,722",6.7,28,30.2,35.2
NH,Rockingham County,"10,843","55,276","63,258","88,360",5,25.4,29.1,40.6
NH,Strafford County,"6,179","22,569","23,841","29,174",7.6,27.6,29.2,35.7
NH,Sullivan County,"2,926","11,841","8,591","8,182",9.3,37.5,27.2,25.9
NJ,New Jersey,"666,782","1,722,597","1,426,484","2,347,836",10.8,27.9,23.1,38.1
NJ,Atlantic County,"25,650","61,797","50,065","49,782",13.7,33,26.7,26.6
NJ,Bergen County,"52,700","157,643","133,407","315,920",8,23.9,20.2,47.9
NJ,Burlington County,"20,696","90,581","86,923","115,295",6.6,28.9,27.7,36.8
NJ,Camden County,"40,291","106,856","92,875","108,300",11.6,30.7,26.7,31.1
NJ,Cape May County,"6,436","23,086","18,502","21,887",9.2,33,26.5,31.3
NJ,Cumberland County,"23,126","41,019","25,455","15,013",22.1,39.2,24.3,14.4
NJ,Essex County,"78,743","151,827","122,028","181,918",14.7,28.4,22.8,34
NJ,Gloucester County,"14,834","67,125","55,106","61,556",7.5,33.8,27.7,31
NJ,Hudson County,"78,305","126,237","87,836","189,467",16.3,26.2,18.2,39.3
NJ,Hunterdon County,"4,481","19,230","19,913","44,921",5.1,21.7,22.5,50.7
NJ,Mercer County,"30,352","61,587","54,370","103,725",12.1,24.6,21.7,41.5
NJ,Middlesex County,"61,515","147,854","122,864","240,684",10.7,25.8,21.4,42
NJ,Monmouth County,"31,229","107,712","105,334","191,894",7.2,24.7,24.1,44
NJ,Morris County,"20,949","73,245","70,471","182,679",6,21.1,20.3,52.6
NJ,Ocean County,"35,850","139,381","115,577","115,279",8.8,34.3,28.5,28.4
NJ,Passaic County,"57,288","116,225","71,765","90,767",17,34.6,21.4,27
NJ,Salem County,"5,732","16,840","12,440","9,318",12.9,38,28.1,21
NJ,Somerset County,"13,038","48,614","46,368","122,387",5.7,21.1,20.1,53.1
NJ,Sussex County,"5,677","31,745","28,991","34,751",5.6,31.4,28.7,34.4
NJ,Union County,"52,951","110,261","85,379","128,449",14,29.2,22.6,34.1
NJ,Warren County,"6,939","23,732","20,815","23,844",9.2,31.5,27.6,31.7
NM,New Mexico,"207,487","365,014","437,835","371,294",15,26.4,31.7,26.9
NM,Bernalillo County,"52,895","106,306","145,820","153,193",11.5,23.2,31.8,33.4
NM,Catron County,143,"1,146",905,764,4.8,38.7,30.6,25.8
NM,Chaves County,"8,951","11,193","13,223","7,819",21.7,27.2,32.1,19
NM,Cibola County,"3,478","5,942","6,349","2,227",19.3,33,35.3,12.4
NM,Colfax County,"1,052","3,020","3,262","1,889",11.4,32.7,35.4,20.5
NM,Curry County,"5,161","8,166","11,117","6,073",16.9,26.8,36.4,19.9
NM,De Baca County,176,494,559,142,12.8,36,40.8,10.4
NM,Dona Ana County,"26,623","28,434","37,888","35,164",20.8,22.2,29.6,27.4
NM,Eddy County,"5,560","13,479","11,699","5,940",15.2,36.7,31.9,16.2
NM,Grant County,"2,590","5,191","6,942","5,445",12.8,25.7,34.4,27
NM,Guadalupe County,763,"1,323",885,447,22.3,38.7,25.9,13.1
NM,Harding County,45,153,134,105,10.3,35,30.7,24
NM,Hidalgo County,657,"1,041",969,448,21.1,33.4,31.1,14.4
NM,Lea County,"11,272","13,007","11,874","5,464",27.1,31.3,28.5,13.1
NM,Lincoln County,"1,267","4,261","4,789","4,345",8.6,29.1,32.7,29.6
NM,Los Alamos County,260,"1,272","2,857","8,315",2,10,22.5,65.5
NM,Luna County,"5,123","4,762","3,466","2,198",32.9,30.6,22.3,14.1
NM,McKinley County,"10,951","14,948","12,777","4,697",25.2,34.5,29.5,10.8
NM,Mora County,330,"1,152","1,175",387,10.8,37.8,38.6,12.7
NM,Otero County,"6,579","12,202","15,862","7,766",15.5,28.8,37.4,18.3
NM,Quay County,901,"2,317","1,656",887,15.6,40.2,28.7,15.4
NM,Rio Arriba County,"3,910","8,722","9,061","4,911",14.7,32.8,34.1,18.5
NM,Roosevelt County,"2,260","2,957","3,093","2,694",20.5,26.9,28.1,24.5
NM,Sandoval County,"9,022","23,737","32,959","28,249",9.6,25.3,35.1,30.1
NM,San Juan County,"13,269","25,719","30,483","11,833",16.3,31.6,37.5,14.6
NM,San Miguel County,"3,792","5,506","6,367","3,813",19.5,28.3,32.7,19.6
NM,Santa Fe County,"12,043","24,126","27,236","44,854",11.1,22.3,25.2,41.4
NM,Sierra County,"1,385","2,711","2,924","1,669",15.9,31.2,33.7,19.2
NM,Socorro County,"2,544","3,717","2,561","2,140",23.2,33.9,23.4,19.5
NM,Taos County,"3,043","6,462","8,064","6,736",12.5,26.6,33.2,27.7
NM,Torrance County,"1,773","3,609","3,669","1,945",16.1,32.8,33.4,17.7
NM,Union County,649,"1,192",672,476,21.7,39.9,22.5,15.9
NM,Valencia County,"9,020","16,747","16,538","8,259",17.8,33.1,32.7,16.3
NY,New York,"1,895,439","3,591,287","3,353,270","4,820,813",13.9,26.3,24.5,35.3
NY,Albany County,"15,255","50,589","55,932","83,057",7.4,24.7,27.3,40.5
NY,Allegany County,"3,219","11,464","9,645","6,003",10.6,37.8,31.8,19.8
NY,Bronx County,"264,309","256,066","227,450","179,549",28.5,27.6,24.5,19.4
NY,Broome County,"12,429","40,700","40,265","36,408",9.6,31.4,31,28
NY,Cattaraugus County,"6,188","21,015","15,930","10,068",11.6,39.5,29.9,18.9
NY,Cayuga County,"6,872","18,110","18,041","12,453",12.4,32.6,32.5,22.4
NY,Chautauqua County,"10,368","32,162","28,566","19,146",11.5,35.6,31.7,21.2
NY,Chemung County,"5,744","21,231","18,039","15,110",9.6,35.3,30,25.1
NY,Chenango County,"4,204","13,451","10,461","6,445",12.2,38.9,30.3,18.6
NY,Clinton County,"7,290","20,454","15,327","12,054",13.2,37.1,27.8,21.9
NY,Columbia County,"4,825","14,109","13,006","13,775",10.6,30.9,28.5,30.1
NY,Cortland County,"2,852","10,308","9,182","7,857",9.4,34.1,30.4,26
NY,Delaware County,"4,051","12,403","9,386","7,132",12.3,37.6,28.5,21.6
NY,Dutchess County,"19,495","53,465","60,566","70,642",9.5,26.2,29.7,34.6
NY,Erie County,"56,978","179,951","194,586","211,356",8.9,28,30.3,32.9
NY,Essex County,"2,638","9,615","8,909","7,704",9.1,33.3,30.9,26.7
NY,Franklin County,"4,944","13,328","10,899","6,691",13.8,37.2,30.4,18.7
NY,Fulton County,"5,042","13,794","12,985","6,830",13,35.7,33.6,17.7
NY,Genesee County,"3,654","14,790","13,954","8,842",8.9,35.9,33.8,21.4
NY,Greene County,"4,958","12,827","9,623","7,743",14.1,36.5,27.4,22
NY,Hamilton County,441,"1,155","1,286",722,12.2,32,35.7,20
NY,Herkimer County,"4,480","16,040","14,351","9,108",10.2,36.5,32.6,20.7
NY,Jefferson County,"7,110","24,512","25,733","15,653",9.7,33.6,35.2,21.4
NY,Kings County,"345,445","460,338","354,282","629,290",19.3,25.7,19.8,35.2
NY,Lewis County,"1,861","8,436","5,080","2,986",10.1,45.9,27.7,16.3
NY,Livingston County,"4,664","14,257","13,683","10,113",10.9,33.4,32,23.7
NY,Madison County,"4,255","16,389","14,159","12,904",8.9,34.4,29.7,27
NY,Monroe County,"49,494","123,741","147,912","189,018",9.7,24.3,29,37.1
NY,Montgomery County,"5,062","12,036","11,210","5,818",14.8,35.3,32.8,17
NY,Nassau County,"84,880","219,372","220,149","418,103",9,23.3,23.4,44.4
NY,New York County,"166,091","156,607","172,290","764,149",13.2,12.4,13.7,60.7
NY,Niagara County,"13,588","52,205","49,339","35,370",9,34.7,32.8,23.5
NY,Oneida County,"19,076","53,357","49,274","38,210",11.9,33.4,30.8,23.9
NY,Onondaga County,"29,147","80,811","95,788","110,767",9.2,25.5,30.3,35
NY,Ontario County,"5,165","21,491","23,984","25,714",6.8,28.1,31.4,33.7
NY,Orange County,"24,494","71,195","73,772","70,986",10.2,29.6,30.7,29.5
NY,Orleans County,"3,888","11,706","9,394","4,716",13.1,39.4,31.6,15.9
NY,Oswego County,"10,471","30,749","24,278","14,703",13.1,38.3,30.3,18.3
NY,Otsego County,"3,587","13,077","11,505","11,835",9,32.7,28.8,29.6
NY,Putnam County,"5,076","19,539","18,632","27,126",7.2,27.8,26.5,38.5
NY,Queens County,"314,557","461,228","376,485","513,306",18.9,27.7,22.6,30.8
NY,Rensselaer County,"9,121","31,980","36,675","33,046",8.2,28.9,33.1,29.8
NY,Richmond County,"37,040","103,011","82,970","105,485",11.3,31.4,25.3,32.1
NY,Rockland County,"26,017","45,439","50,437","82,754",12.7,22.2,24.6,40.4
NY,St. Lawrence County,"8,603","26,084","20,771","16,673",11.9,36.2,28.8,23.1
NY,Saratoga County,"9,779","39,770","46,001","64,735",6.1,24.8,28.7,40.4
NY,Schenectady County,"10,453","31,537","31,868","32,881",9.8,29.5,29.9,30.8
NY,Schoharie County,"2,516","8,205","6,675","4,795",11.3,37,30.1,21.6
NY,Schuyler County,"1,354","5,073","3,841","2,909",10.3,38.5,29.1,22.1
NY,Seneca County,"3,497","8,802","7,475","5,096",14.1,35.4,30.1,20.5
NY,Steuben County,"6,877","25,337","20,566","15,382",10.1,37.2,30.2,22.6
NY,Suffolk County,"101,469","292,373","276,103","360,196",9.9,28.4,26.8,35
NY,Sullivan County,"7,218","17,732","15,876","12,438",13.6,33.3,29.8,23.4
NY,Tioga County,"3,477","12,383","10,321","8,591",10,35.6,29.7,24.7
NY,Tompkins County,"3,312","11,947","13,218","31,615",5.5,19.9,22,52.6
NY,Ulster County,"12,106","39,462","37,400","40,691",9.3,30.4,28.8,31.4
NY,Warren County,"3,942","15,652","14,093","13,955",8.3,32.9,29.6,29.3
NY,Washington County,"5,206","17,553","13,150","8,856",11.6,39.2,29.4,19.8
NY,Wayne County,"6,627","22,578","20,799","13,885",10.4,35.3,32.6,21.7
NY,Westchester County,"82,929","130,493","135,807","318,873",12.4,19.5,20.3,47.7
NY,Wyoming County,"3,432","12,104","9,264","4,520",11.7,41.3,31.6,15.4
NY,Yates County,"2,317","5,699","4,622","3,975",13.9,34.3,27.8,23.9
NC,North Carolina,"889,694","1,771,742","2,096,896","2,025,716",13.1,26.1,30.9,29.9
NC,Alamance County,"16,058","29,752","36,294","24,339",15.1,28,34.1,22.9
NC,Alexander County,"4,805","10,600","7,471","3,685",18.1,39.9,28.1,13.9
NC,Alleghany County,"1,708","2,487","2,371","1,510",21.1,30.8,29.4,18.7
NC,Anson County,"3,605","7,455","5,352","1,669",19.9,41.2,29.6,9.2
NC,Ashe County,"3,042","6,337","6,884","3,944",15.1,31.4,34.1,19.5
NC,Avery County,"2,574","3,973","4,001","2,677",19.5,30,30.3,20.2
NC,Beaufort County,"4,759","11,353","11,084","6,639",14.1,33.6,32.8,19.6
NC,Bertie County,"3,502","5,432","3,921","1,802",23.9,37.1,26.8,12.3
NC,Bladen County,"5,045","8,000","7,704","3,530",20.8,33,31.7,14.5
NC,Brunswick County,"10,385","26,098","32,147","26,690",10.9,27.4,33.7,28
NC,Buncombe County,"16,832","43,888","52,119","70,716",9.2,23.9,28.4,38.5
NC,Burke County,"12,425","19,250","21,378","10,609",19.5,30.2,33.6,16.7
NC,Cabarrus County,"14,059","32,741","43,895","38,790",10.9,25.3,33.9,30
NC,Caldwell County,"12,471","18,836","18,561","8,681",21.3,32.2,31.7,14.8
NC,Camden County,"1,047","1,870","2,923","1,291",14.7,26.2,41,18.1
NC,Carteret County,"4,721","13,266","19,831","13,742",9.2,25.7,38.5,26.7
NC,Caswell County,"3,729","5,508","5,102","2,272",22.4,33.2,30.7,13.7
NC,Catawba County,"17,152","32,547","34,607","23,065",16,30.3,32.2,21.5
NC,Chatham County,"6,332","10,641","12,952","20,033",12.7,21.3,25.9,40.1
NC,Cherokee County,"3,152","7,060","6,718","4,012",15.1,33.7,32.1,19.2
NC,Chowan County,"1,685","3,688","3,130","1,989",16.1,35.2,29.8,19
NC,Clay County,886,"2,754","2,679","1,893",10.8,33.5,32.6,23.1
NC,Cleveland County,"10,642","23,268","21,455","10,968",16,35.1,32.3,16.5
NC,Columbus County,"7,605","12,995","13,738","4,925",19.4,33.1,35,12.5
NC,Craven County,"8,281","17,342","25,189","16,319",12.3,25.8,37.5,24.3
NC,Cumberland County,"19,437","52,895","82,177","49,477",9.5,25.9,40.3,24.3
NC,Currituck County,"2,223","5,072","6,475","4,091",12.4,28.4,36.3,22.9
NC,Dare County,"1,800","6,710","9,931","7,841",6.8,25.5,37.8,29.8
NC,Davidson County,"19,010","38,447","36,305","20,666",16.6,33.6,31.7,18.1
NC,Davie County,"3,784","9,371","9,733","6,821",12.7,31.5,32.8,23
NC,Duplin County,"10,623","13,017","11,906","4,283",26.7,32.7,29.9,10.8
NC,Durham County,"25,103","34,867","48,093","96,799",12.3,17,23.5,47.3
NC,Edgecombe County,"7,879","13,599","10,975","4,264",21.5,37,29.9,11.6
NC,Forsyth County,"28,193","62,094","72,144","82,982",11.5,25.3,29.4,33.8
NC,Franklin County,"6,921","13,167","14,526","9,212",15.8,30,33.1,21
NC,Gaston County,"23,424","45,116","48,281","30,064",15.9,30.7,32.9,20.5
NC,Gates County,"1,158","2,956","2,862","1,301",14,35.7,34.6,15.7
NC,Graham County,"1,101","2,260","1,835",857,18.2,37.3,30.3,14.2
NC,Granville County,"6,707","12,875","12,767","8,576",16.4,31.5,31.2,21
NC,Greene County,"3,680","4,640","5,072","1,449",24.8,31.3,34.2,9.8
NC,Guilford County,"38,374","83,016","102,650","120,356",11.1,24.1,29.8,34.9
NC,Halifax County,"8,422","13,594","9,392","5,105",23.1,37.2,25.7,14
NC,Harnett County,"11,345","24,939","29,157","16,696",13.8,30.4,35.5,20.3
NC,Haywood County,"5,479","12,620","15,818","10,894",12.2,28.2,35.3,24.3
NC,Henderson County,"8,748","20,430","27,897","25,886",10.5,24.6,33.6,31.2
NC,Hertford County,"3,380","5,461","5,455","2,581",20,32.4,32.3,15.3
NC,Hoke County,"4,854","9,597","12,815","6,094",14.6,28.8,38.4,18.3
NC,Hyde County,819,"1,539","1,324",286,20.6,38.8,33.4,7.2
NC,Iredell County,"13,018","33,155","38,320","31,154",11.3,28.7,33.1,26.9
NC,Jackson County,"3,207","7,046","8,325","8,138",12,26.4,31.2,30.5
NC,Johnston County,"17,647","36,055","42,401","26,568",14.4,29.4,34.6,21.7
NC,Jones County,"1,317","2,082","2,802","1,023",18.2,28.8,38.8,14.2
NC,Lee County,"7,145","10,203","13,932","8,426",18,25.7,35.1,21.2
NC,Lenoir County,"7,991","12,816","13,968","5,405",19.9,31.9,34.8,13.5
NC,Lincoln County,"8,870","17,576","18,927","11,517",15.6,30.9,33.3,20.2
NC,McDowell County,"5,659","10,707","10,838","5,132",17.5,33.1,33.5,15.9
NC,Macon County,"3,186","7,986","8,722","5,682",12.5,31.2,34.1,22.2
NC,Madison County,"2,332","4,850","4,057","3,935",15.4,32,26.7,25.9
NC,Martin County,"2,758","5,991","5,239","2,633",16.6,36,31.5,15.8
NC,Mecklenburg County,"69,644","123,245","191,960","303,197",10.1,17.9,27.9,44.1
NC,Mitchell County,"1,942","3,680","3,556","2,027",17.3,32.8,31.7,18.1
NC,Montgomery County,"4,171","6,271","5,818","2,650",22.1,33.2,30.8,14
NC,Moore County,"6,660","15,591","21,266","24,440",9.8,22.9,31.3,36
NC,Nash County,"9,619","21,704","20,091","13,098",14.9,33.6,31.1,20.3
NC,New Hanover County,"11,473","32,819","47,049","58,164",7.7,22,31.5,38.9
NC,Northampton County,"3,299","5,593","4,244","1,930",21.9,37.1,28.2,12.8
NC,Onslow County,"8,751","29,654","42,614","20,542",8.6,29.2,42,20.2
